Year,GDP Growth %,Avg Oil Price USD,Interest Rate %,Expat Pop (M),Consumer Conf,New Car Reg (Avg/Mo),Auto Credit QAR Mn,Market Health Score,Key Events,Procurement Signal
2015,4.7%,$52.1,4.76%,1.94M,70,2976,109.5,69/100,Oil price crash - market decline,Procure cautiously
2016,2.2%,$45.3,4.98%,2.15M,62,3056,108.8,59/100,Continued oil impact,Procure cautiously
2017,1.7%,$55.0,4.99%,2.30M,57,3188,114.8,58/100,GCC diplomatic blockade,Minimal procurement
2018,1.5%,$72.6,5.52%,2.27M,60,3193,117.0,60/100,Post-blockade recovery,Normal procurement
2019,0.8%,$64.1,4.77%,2.69M,63,3412,126.3,59/100,VAT introduction,Cautious
2020,-3.6%,$41.9,2.51%,2.47M,44,3587,142.3,41/100,COVID-19 pandemic,Minimal procurement
2021,1.5%,$71.3,2.48%,2.58M,54,3684,149.3,63/100,Recovery - FIFA 2022 prep,Normal procurement
2022,4.1%,$103.1,5.49%,2.81M,76,3827,131.2,77/100,FIFA World Cup,Procure aggressively
2023,2.8%,$82.5,5.99%,2.89M,69,3968,137.1,67/100,Post-FIFA normalization,Normal procurement
2024,2.2%,$82.2,5.76%,2.97M,67,4133,143.9,66/100,Strong rebound +20.4%,Procure aggressively
2025,2.8%,$76.4,5.28%,3.03M,69,4113,142.1,68/100,Jetour surge - Chinese brands dominate,Procure aggressively
2026,3.2%,$69.8,5.04%,3.16M,72,4512,158.4,69/100,,Normal procurement
