Signal,Strength,Trigger Condition,AI Action,Source Data
Land Cruiser demand,VERY HIGH,Always on - perennial #1,Maintain min 5 units stock,Top Models 2021-2025
Jetour threat to Prado,HIGH,Jetour 14.2% share - growing,Review Prado pricing vs Jetour T2,Brand Share 2025
TANK 500 vs Land Cruiser,🟡 MEDIUM,TANK at #4 - growing fast,Monitor - LC still premium differentiated,Brand Share 2025
Chinese brand disruption,HIGH,>25% combined Chinese share,Focus on Toyota service/warranty edge,Brand Share 2022-2025
Lexus EV/Hybrid growth,🟢 GROWING,Lexus +510% EV growth in 2025,Stock hybrid Lexus models for 2026,Focus2Move 2025
Winter buying season,VERY HIGH,Nov-Feb peak confirmed +39% vs off-peak,Procure aggressively Aug-Oct,Quarterly Data
Summer demand drop,CONFIRMED,Jun-Aug low - expat exodus,Reduce procurement Jun-Aug,Quarterly Data
Government fleet Q4,🟡 HIGH,Oct-Dec government budget cycle,Stock government-spec vehicles Sep,Market Reports
Ramadan buying spike,CONFIRMED,2 weeks before Ramadan start,Stock up 3 weeks before Ramadan,Qatar Events
Market growth 2025,🟢 STRONG,+15.4% YoY - market expanding,Increase overall procurement targets,Annual Data 2025
Sedan segment declining,🟡 MEDIUM,Sedan down from 42% to 17%,Reduce sedan orders - focus on SUV,Segmentation Data
SUV demand dominant,VERY HIGH,SUVs = 67% of market in 2025,Always prioritise SUV/Pickup stock,Segmentation Data
EV market growing,🟢 GROWING,+97.6% EV growth - still <3%,Monitor - plan hybrid stock for 2027,Focus2Move EV 2025
Lexus LX momentum,HIGH,LX was #2 in 2023 - sustained demand,Maintain min 3 LX600 units always,Top Models 2023-2025
Post-FIFA normalization,🟡 MEDIUM,Market -1.4% in 2023 post-FIFA,Expect stabilization after events,Annual Data 2023
